datetime,portfolio_value,cash,positions,return
2015-02-05 10:03:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:04:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:05:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:06:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:07:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:08:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:09:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:10:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:11:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:12:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:13:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:14:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:15:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:16:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:17:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:18:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:19:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-05 10:20:00-05:00,104365.8536287014,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
